customer_id,store_id,first_name,last_name,email,active,create_date,last_update,address,district,city,postal_code,country,phone
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1152 Citrus Heights Manor",al-Qadarif,al-Qadarif,5239,Sudan,765957414528
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","289 Santo Andr Manor",al-Sharqiya,al-Qatif,72410,"Saudi Arabia",214976066017
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","127 Purnea (Purnia) Manor",Piemonte,Alessandria,79388,Italy,911872220378
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","431 Xiangtan Avenue",Kerala,"Allappuzha (Alleppey)",4854,India,230250973122
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","397 Sunnyvale Avenue",Guanajuato,Allende,55566,Mexico,680851640676
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,0,"2006-02-14 22:04:36","2006-02-15 04:57:20","1623 Kingstown Drive","Buenos Aires","Almirante Brown",91299,Argentina,296394569728
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1407 Pachuca de Soto Place","Rio Grande do Sul",Alvorada,26284,Brazil,380077794770
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1014 Loja Manor","Tamil Nadu",Ambattur,66851,India,460795526514
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","992 Klerksdorp Loop",Utrecht,Amersfoort,33711,Netherlands,855290087237
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","949 Allende Lane","Uttar Pradesh",Amroha,67521,India,122981120653
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1354 Siegen Street","Rio de Janeiro","Angra dos Reis",80184,Brazil,573441801529
22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","356 Olomouc Manor",Gois,Anpolis,93323,Brazil,22326410776
23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1718 Valencia Street",Antofagasta,Antofagasta,37359,Chile,675292816413
24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1201 Qomsheh Manor",Gois,"Aparecida de Goinia",21464,Brazil,873492228462
25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1749 Daxian Place",Gelderland,Apeldoorn,11044,Netherlands,963369996279
26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1692 Ede Loop","So Paulo",Araatuba,9223,Brazil,918711376618
27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","334 Munger (Monghyr) Lane",Markazi,Arak,38145,Iran,481183273622
28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1009 Zanzibar Lane",Arecibo,Arecibo,64875,"Puerto Rico",102396298916
29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","913 Coacalco de Berriozbal Loop",Texas,Arlington,42141,"United States",262088367001
30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","659 Vaduz Drive","Ha Darom",Ashdod,49708,Israel,709935135487
31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","387 Mwene-Ditu Drive",Ahal,Ashgabat,8073,Turkmenistan,764477681869
32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","632 Usolje-Sibirskoje Parkway","Ha Darom",Ashqelon,73085,Israel,667648979883
33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","201 Effon-Alaiye Way",Asuncin,Asuncin,64344,Paraguay,684192903087
34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","692 Joliet Street",Attika,Athenai,83579,Greece,448477190408
35,2,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","616 Hagonoy Avenue",Krasnojarsk,Atinsk,46043,"Russian Federation",604177838256
36,2,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","125 Citt del Vaticano Boulevard",Puebla,Atlixco,67912,Mexico,48417642933
37,1,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1308 Arecibo Way",Georgia,"Augusta-Richmond County",30695,"United States",6171054059
38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","587 Benguela Manor",Illinois,Aurora,91590,"United States",165450987037
38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","43 Vilnius Manor",Colorado,Aurora,79814,"United States",484500282381
39,1,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1229 Varanasi (Benares) Manor","Buenos Aires",Avellaneda,40195,Argentina,817740355461
40,2,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1190 0 Place","Rio Grande do Sul",Bag,10417,Brazil,841876514789
41,1,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1427 A Corua (La Corua) Place","Buenos Aires","Baha Blanca",85799,Argentina,972574862516
42,2,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","183 Haiphong Street",Jilin,Baicheng,69953,China,488600270038
43,2,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","362 Rajkot Lane",Gansu,Baiyin,98030,China,962020153680
44,1,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","431 Szkesfehrvr Avenue",Baki,Baku,57828,Azerbaijan,119501405123
45,1,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1697 Kowloon and New Kowloon Loop",Moskova,Balaiha,57807,"Russian Federation",499352017190
46,2,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1912 Emeishan Drive",Balikesir,Balikesir,33050,Turkey,99883471275
47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","624 Oshawa Boulevard","West Bengali",Balurghat,89959,India,49677664184
48,1,ANN,EVANS,ANN.EVANS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1641 Changhwa Place",Nord-Ouest,Bamenda,37636,Cameroon,256546485220
49,2,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1370 Le Mans Avenue","Brunei and Muara","Bandar Seri Begawan",52163,Brunei,345679835036
50,1,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","247 Jining Parkway",Banjul,Banjul,53446,Gambia,170115379190
51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","502 Mandi Bahauddin Parkway",Anzotegui,Barcelona,15992,Venezuela,618156722572
52,1,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","915 Ponce Place",Basel-Stadt,Basel,83980,Switzerland,1395251317
53,1,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1542 Lubumbashi Boulevard","Tel Aviv","Bat Yam",62472,Israel,508800331065
54,1,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","29 Pyongyang Loop",Batman,Batman,47753,Turkey,734780743462
55,2,DORIS,REED,DORIS.REED@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1924 Shimonoseki Drive",Batna,Batna,52625,Algeria,406784385440
56,1,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1768 Udine Loop",Battambang,Battambang,32347,Cambodia,448876499197
57,2,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","492 Cam Ranh Street","Eastern Visayas",Baybay,50805,Philippines,565018274456
58,1,JEAN,BELL,JEAN.BELL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1166 Changhwa Street",Caraga,Bayugan,58852,Philippines,650752094490
59,1,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1031 Daugavpils Parkway",Bchar,Bchar,59025,Algeria,107137400143
60,1,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","771 Yaound Manor",Sofala,Beira,86768,Mozambique,245477603573
61,2,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","660 Jedda Boulevard",Washington,Bellevue,25053,"United States",168758068397
62,1,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1163 London Parkway",Par,Belm,6066,Brazil,675120358494
63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","486 Ondo Parkway",Benguela,Benguela,35202,Angola,105882218332
64,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,0,"2006-02-14 22:04:36","2006-02-15 04:57:20","454 Qinhuangdao Drive",Tadla-Azilal,Beni-Mellal,25866,Morocco,786270036240
65,2,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1279 Udine Parkway","Edo & Delta","Benin City",75860,Nigeria,195003555232
66,2,JANICE,WARD,JANICE.WARD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","231 Kaliningrad Place",Lombardia,Bergamo,57833,Italy,575081026569
67,1,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","126 Acua Parkway","West Bengali","Berhampore (Baharampur)",58888,India,480039662421
68,1,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","185 Novi Sad Place",Bern,Bern,41778,Switzerland,904253967161
69,2,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","97 Mogiljov Lane",Gujarat,Bhavnagar,89294,India,924815207181
70,2,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","43 Dadu Avenue",Rajasthan,Bhilwara,4855,India,95666951770
71,1,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","635 Brest Manor","Andhra Pradesh",Bhimavaram,40899,India,80593242951
72,2,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","419 Iligan Lane","Madhya Pradesh",Bhopal,72878,India,990911107354
73,2,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","642 Nador Drive",Maharashtra,Bhusawal,3924,India,369050085652
74,1,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1257 Guadalajara Street",Karnataka,Bijapur,33599,India,195337700615
75,2,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1741 Hoshiarpur Boulevard",al-Sharqiya,Bilbays,22372,Egypt,855066328617
76,2,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1332 Gaziantep Lane",Shandong,Binzhou,22813,China,383353187467
77,2,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","470 Boksburg Street",Central,Birgunj,97960,Nepal,908029859266
78,1,LORI,WOOD,LORI.WOOD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","152 Kitwe Parkway",Caraga,Bislig,53182,Philippines,835433605312
79,1,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1304 s-Hertogenbosch Way","Santa Catarina",Blumenau,10925,Brazil,90336226227
80,1,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1293 Nam Dinh Way",Roraima,"Boa Vista",71583,Brazil,697656479977
81,1,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","569 Baicheng Lane",Gauteng,Boksburg,60304,"South Africa",490211944645
82,1,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1256 Bislig Boulevard",Botosani,Botosani,50598,Romania,479007229460
83,1,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","898 Belm Manor","Free State",Botshabelo,49757,"South Africa",707169393853
84,2,SARA,PERRY,SARA.PERRY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1557 Ktahya Boulevard",England,Bradford,88002,"United Kingdom",720998247660
85,2,ANNE,POWELL,ANNE.POWELL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","981 Kumbakonam Place","Distrito Federal",Braslia,87611,Brazil,829116184079
86,2,JACQUELINE,LONG,JACQUELINE.LONG@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","482 Kowloon and New Kowloon Manor",Bratislava,Bratislava,97056,Slovakia,738968474939
87,1,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1224 Huejutla de Reyes Boulevard",Lombardia,Brescia,70923,Italy,806016930576
88,2,BONNIE,HUGHES,BONNIE.HUGHES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1346 Mysore Drive",Bretagne,Brest,61507,France,516647474029
89,1,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1 Valle de Santiago Avenue",Apulia,Brindisi,86208,Italy,465897838272
90,2,RUBY,WASHINGTON,RUBY.WASHINGTON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","782 Mosul Street",Massachusetts,Brockton,25545,"United States",885899703621
91,2,LOIS,BUTLER,LOIS.BUTLER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1342 Abha Boulevard",Bukarest,Bucuresti,10714,Romania,997453607116
92,2,TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","98 Stara Zagora Boulevard",Valle,Buenaventura,76448,Colombia,610173756082
93,1,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1769 Iwaki Lane",Kujawsko-Pomorskie,Bydgoszcz,25787,Poland,556100547674
94,1,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1061 Ede Avenue","Southern Tagalog",Cabuyao,57810,Philippines,333390595558
95,2,PAULA,BRYANT,PAULA.BRYANT@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","827 Yuncheng Drive",Callao,Callao,79047,Peru,504434452842
96,1,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1817 Livorno Way","Khanh Hoa","Cam Ranh",79401,Vietnam,478380208348
97,2,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1427 Tabuk Place",Florida,"Cape Coral",31342,"United States",214756839122
98,1,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1378 Alvorada Avenue","Distrito Federal",Caracas,75834,Venezuela,272234298332
99,2,EMILY,DIAZ,EMILY.DIAZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1819 Alessandria Loop",Campeche,Carmen,53829,Mexico,377633994405
100,1,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","717 Changzhou Lane","Southern Tagalog",Cavite,21615,Philippines,426255288071
101,1,PEGGY,MYERS,PEGGY.MYERS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","698 Otsu Street",Cayenne,Cayenne,71110,"French Guiana",409983924481
102,1,CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1402 Zanzibar Boulevard",Guanajuato,Celaya,71102,Mexico,387448063440
103,1,GLADYS,HAMILTON,GLADYS.HAMILTON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1540 Wroclaw Drive",Maharashtra,Chandrapur,62686,India,182363341674
104,1,RITA,GRAHAM,RITA.GRAHAM@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1551 Rampur Lane",Changhwa,Changhwa,72394,Taiwan,251164340471
105,1,DAWN,SULLIVAN,DAWN.SULLIVAN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","817 Bradford Loop",Jiangsu,Changzhou,89459,China,264286442804
106,1,CONNIE,WALLACE,CONNIE.WALLACE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1747 Rustenburg Place",Bihar,Chapra,51369,India,442673923363
107,1,FLORENCE,WOODS,FLORENCE.WOODS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","264 Bhimavaram Manor","St Thomas","Charlotte Amalie",54749,"Virgin Islands, U.S.",302526949177
108,1,TRACY,COLE,TRACY.COLE@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1497 Fengshan Drive",KwaZulu-Natal,Chatsworth,63022,"South Africa",368738360376
109,2,EDNA,WEST,EDNA.WEST@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1942 Ciparay Parkway",Cheju,Cheju,82624,"South Korea",978987363654
110,2,TIFFANY,JORDAN,TIFFANY.JORDAN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1947 Poos de Caldas Boulevard",Chiayi,Chiayi,60951,Taiwan,427454485876
111,1,CARMEN,OWENS,CARMEN.OWENS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","269 Cam Ranh Parkway",Chisinau,Chisinau,34689,Moldova,489783829737
112,2,ROSA,REYNOLDS,ROSA.REYNOLDS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","608 Birgunj Parkway",Taipei,Chungho,400,Taiwan,627425618482
113,2,CINDY,FISHER,CINDY.FISHER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1445 Carmen Parkway","West Java",Cianjur,70809,Indonesia,598912394463
114,2,GRACE,ELLIS,GRACE.ELLIS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","47 Syktyvkar Lane","West Java",Ciomas,22236,Indonesia,63937119031
115,1,WENDY,HARRISON,WENDY.HARRISON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1860 Taguig Loop","West Java",Ciparay,59550,Indonesia,38158430589
116,1,VICTORIA,GIBSON,VICTORIA.GIBSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","770 Bydgoszcz Avenue",California,"Citrus Heights",16266,"United States",517338314235
117,1,EDITH,MCDONALD,EDITH.MCDONALD@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","18 Duisburg Boulevard",,"Citt del Vaticano",58327,"Holy See (Vatican City State)",998009777982
118,1,KIM,CRUZ,KIM.CRUZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1679 Antofagasta Street","Alto Paran","Ciudad del Este",86599,Paraguay,905903574913
119,1,SHERRY,MARSHALL,SHERRY.MARSHALL@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1666 Beni-Mellal Place",Tennessee,Clarksville,13377,"United States",9099941466
120,2,SYLVIA,ORTIZ,SYLVIA.ORTIZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1473 Changhwa Parkway",Mxico,"Coacalco de Berriozbal",75933,Mexico,266798132374
121,1,JOSEPHINE,GOMEZ,JOSEPHINE.GOMEZ@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1785 So Bernardo do Campo Street",Veracruz,Coatzacoalcos,71182,Mexico,684529463244
122,1,THELMA,MURRAY,THELMA.MURRAY@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","533 al-Ayn Boulevard",California,Compton,8862,"United States",662227486184
123,2,SHANNON,FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","568 Dhule (Dhulia) Loop",Coquimbo,Coquimbo,92568,Chile,602101369463
124,1,SHEILA,WELLS,SHEILA.WELLS@sakilacustomer.org,0,"2006-02-14 22:04:36","2006-02-15 04:57:20","96 Tafuna Way",Crdoba,Crdoba,99865,Argentina,934730187245
125,1,ETHEL,WEBB,ETHEL.WEBB@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1447 Chatsworth Place",Chihuahua,Cuauhtmoc,41545,Mexico,769370126331
126,1,ELLEN,SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","479 San Felipe del Progreso Avenue",Morelos,Cuautla,54949,Mexico,869051782691
127,2,ELAINE,STEVENS,ELAINE.STEVENS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","186 Skikda Lane",Morelos,Cuernavaca,89422,Mexico,14465669789
128,1,MARJORIE,TUCKER,MARJORIE.TUCKER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1079 Tel Aviv-Jaffa Boulevard",Sucre,Cuman,10885,Venezuela,358178933857
129,1,CARRIE,PORTER,CARRIE.PORTER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","1405 Hagonoy Avenue",Slaskie,Czestochowa,86587,Poland,867287719310
130,1,CHARLOTTE,HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","966 Arecibo Loop",Sind,Dadu,94018,Pakistan,15273765306
131,2,MONICA,HICKS,MONICA.HICKS@sakilacustomer.org,1,"2006-02-14 22:04:36","2006-02-15 04:57:20","530 Lausanne Lane",Texas,Dallas,11067,"United States",775235029633
